"AÑOS","CARBONES RAW","MINERALES INDUSTRIALES RAW","METALES RAW","CANTERÍA RAW","ROCAS ORNAMENTALES RAW","CARBONES","MINERALES INDUSTRIALES","METALES","CANTERíA","ROCAS ORNAMENTALES"
"AÑO - 2005",19473.90,19694.08,136.50,532583.98,9240.16,4.289,4.294,2.135,5.726,3.966
"AÑO - 2006",18428.60,20088.09,136.63,563587.47,11991.45,4.265,4.303,2.136,5.751,4.079
"AÑO - 2007",17209.16,19909.84,116.32,575297.95,14570.55,4.236,4.299,2.066,5.760,4.163
"AÑO - 2008",10204.67,18153.83,143.54,485208.88,11493.59,4.009,4.259,2.157,5.686,4.060
"AÑO - 2009",9448.51,14332.31,292.27,385972.79,9414.19,3.975,4.156,2.466,5.587,3.974
"AÑO - 2010",8433.19,15612.23,745.14,314693.26,8898.22,3.926,4.193,2.872,5.498,3.949
"AÑO - 2011",6623.73,15769.56,1021.51,257983.62,8343.64,3.821,4.198,3.009,5.412,3.921
"AÑO - 2012",6186.17,14546.98,1349.80,180906.79,6771.99,3.791,4.163,3.130,5.257,3.831
"AÑO - 2013",4400.94,15533.39,1400.59,147051.15,6850.01,3.644,4.191,3.146,5.167,3.836
"AÑO - 2014",3837.63,15342.58,1459.68,153440.87,6504.35,3.584,4.186,3.164,5.186,3.813
"AÑO - 2015",3042.36,15000.01,1593.64,166323.06,6326.55,3.483,4.176,3.202,5.221,3.801
"AÑO - 2016",1832.38,15764.38,1790.22,154331.70,5992.83,3.263,4.198,3.253,5.188,3.778
"AÑO - 2017",2995.12,15827.04,1913.47,168237.53,6158.77,3.476,4.199,3.282,5.226,3.789
"AÑO - 2018",2407.15,17006.54,2203.15,184083.89,5924.37,3.382,4.231,3.343,5.265,3.773
"AÑO - 2019",5924.37,16332.66,1746.33,192877.27,4707.19,3.773,4.213,3.242,5.285,3.673
